Group,B,PB,QB,Diet,Halibut HookLine,Crab Pots,Herring Fleet,Salmon Fleet,Subsistence FIshery,Flatfish Trawl,Other Groundfish Trawl,P. Cod HookLine,P. Cod Pot,P. Cod Trawl,Pollock Trawl,Rockfish Trawl,Sablefish HookLine,shrimp trawl
Transient Killers,7,3,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Sperm and Beaked Whales,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Resident Killers,3,3,6,6,9,9,9,9,9,9,9,1,9,9,9,9,1,9
Porpoises,3,6,6,6,9,9,9,9,2,1,1,9,9,1,1,1,9,9
Gray Whales,5,6,6,6,9,9,9,9,2,9,9,9,9,9,9,9,9,9
Humpbacks,4,2,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Fin Whales,4,6,6,6,9,9,9,9,9,1,1,9,9,1,1,1,9,9
Sei whales,7,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Right whales,7,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Minke whales,4,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Sea Otters,4,6,6,7,9,9,9,9,2,9,9,9,9,9,9,9,9,9
N. Fur Seal_Juv,4,4,7,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9
N. Fur Seal,4,4,5,5,9,9,9,9,2,9,9,9,9,9,9,9,9,9
Steller Sea Lion_Juv,2,4,7,4,9,9,9,9,2,9,9,9,9,9,9,9,9,9
Steller Sea Lion,2,4,5,4,9,9,9,9,2,1,1,1,9,1,1,1,1,9
Resident seals,5,6,6,5,9,9,9,9,2,1,1,1,1,1,1,1,1,9
Shearwater,6,6,6,6,9,9,9,9,9,4,9,4,4,4,4,4,4,9
Murres,4,6,6,6,9,9,9,9,9,4,9,4,4,4,4,4,4,9
Kittiwakes,4,6,6,6,9,9,9,9,9,4,9,4,4,4,4,4,4,9
Auklets,4,6,6,6,9,9,9,9,9,4,9,4,4,4,4,4,4,9
Puffins,4,6,6,6,9,9,9,9,9,4,9,4,4,4,4,4,4,9
Fulmars,4,6,6,6,9,9,9,9,9,4,9,4,4,4,4,4,4,9
Storm Petrels,4,6,6,6,9,9,9,9,9,4,9,4,4,4,4,4,4,9
Cormorants,4,6,6,6,9,9,9,9,9,4,9,4,4,4,4,4,4,9
Gulls,4,6,6,6,9,9,9,9,9,4,9,4,4,4,4,4,4,9
Albatross Jaeger,6,6,6,6,9,9,9,9,9,4,9,4,4,4,4,4,4,9
Sleeper shark,4,7,7,4,7,9,9,9,9,3,9,3,9,3,3,9,3,9
Salmon shark,5,7,7,6,5,9,9,9,2,3,9,3,9,3,3,9,3,9
Dogfish,6,7,7,7,5,9,9,9,2,3,3,3,3,3,3,3,3,9
W. Pollock_Juv,8,4,4,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
W. Pollock,1,4,4,1,9,9,9,9,2,1,1,1,1,1,1,1,1,9
P. Cod_Juv,8,4,4,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
P. Cod,2,3,3,1,5,9,9,9,2,1,1,1,1,1,1,1,1,9
Herring_Juv,8,4,4,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Herring,3,6,6,5,9,9,1,9,2,1,9,9,1,1,1,1,9,9
Arrowtooth_Juv,4,4,4,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Arrowtooth,1,3,3,1,5,9,9,9,2,1,1,1,1,1,1,1,1,9
P. Halibut_Juv,4,4,4,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
P. Halibut,2,3,3,1,1,9,9,9,2,2,2,2,2,2,2,2,2,9
YF. Sole,2,6,6,1,9,9,9,9,2,1,1,9,1,1,1,9,9,9
FH. Sole_Juv,8,4,4,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
FH. Sole,2,3,3,1,9,9,9,9,9,1,1,1,1,1,1,1,1,9
N. Rock sole,3,6,6,1,9,9,9,9,9,2,2,2,9,2,2,2,9,9
S. Rock sole,3,6,6,1,9,9,9,9,2,2,2,2,9,2,2,2,9,9
AK Plaice,2,6,6,5,9,9,9,9,9,1,9,9,9,1,1,9,9,9
Dover Sole,3,6,6,2,9,9,9,9,9,1,1,1,1,1,1,1,1,9
Rex Sole,3,6,6,2,9,9,9,9,2,1,1,9,9,1,1,1,9,9
Misc. Flatfish,3,6,6,2,9,9,9,9,2,2,2,2,2,2,2,2,2,9
Other skates,3,7,7,6,7,9,9,9,9,4,4,4,4,4,4,4,4,9
Longnose skate,3,7,7,6,7,9,9,9,9,4,4,4,4,4,4,4,4,9
Big skate,3,7,7,6,7,9,9,9,2,4,4,4,4,4,4,4,4,9
Sablefish_Juv,8,6,6,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Sablefish,3,5,5,4,5,9,9,9,2,1,1,1,1,1,1,1,1,9
Eelpouts,8,7,7,6,9,9,9,9,9,7,7,7,7,7,7,7,7,9
Grenadiers,3,7,7,5,9,9,9,9,9,4,4,4,9,4,4,4,4,9
Misc. fish deep,8,7,7,7,9,9,9,9,9,7,7,7,7,7,7,7,7,9
POP_Juv,4,4,4,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
POP,2,3,3,1,6,9,9,9,2,1,1,1,1,1,1,1,1,9
Sharpchin Rock,8,6,6,2,6,9,9,9,9,2,2,2,2,2,2,2,2,9
Northern Rock,2,6,6,2,6,9,9,9,9,2,2,2,9,2,2,2,2,9
Dusky Rock,3,6,6,2,6,9,9,9,9,1,1,1,1,1,1,1,1,9
Shortraker Rock,3,6,6,2,6,9,9,9,9,2,2,2,2,2,2,2,2,9
Rougheye Rock,3,6,6,2,6,9,9,9,9,2,2,2,2,2,2,2,2,9
Shortspine Thorns_Juv,8,4,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Shortspine Thorns,4,3,3,2,6,9,9,9,9,1,1,1,1,1,1,1,1,9
Other Sebastes,8,6,6,5,6,9,9,9,2,2,2,2,2,2,2,2,2,9
Atka mackerel_Juv,8,6,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Atka mackerel,4,5,5,5,9,9,9,9,9,1,1,1,1,1,1,1,1,9
Greenlings,2,7,7,5,9,9,9,9,2,9,9,9,9,9,9,9,9,9
Lg. Sculpins,2,7,7,5,6,9,9,9,2,4,4,4,4,4,4,4,4,9
Other sculpins,8,7,7,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Misc. fish shallow,8,7,7,5,9,9,9,9,2,7,7,7,7,7,7,7,7,9
Octopi ,8,7,7,7,9,9,9,9,9,3,3,3,3,3,3,3,3,9
Squids,8,7,7,7,9,9,9,9,9,3,3,9,9,3,3,3,3,9
Salmon returning,6,5,5,5,9,9,9,1,9,2,2,2,9,2,2,2,2,9
Salmon outgoing,7,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Bathylagidae,8,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Myctophidae,8,7,7,7,9,9,9,9,9,9,9,9,9,9,9,4,9,9
Capelin,8,7,7,7,9,9,9,9,2,4,4,9,4,4,4,4,9,9
Sandlance,8,7,7,7,9,9,9,9,9,9,9,9,9,4,4,4,9,9
Eulachon,8,7,7,7,9,9,9,9,2,4,4,9,4,4,4,4,9,9
Oth. managed forage,8,7,7,7,9,9,9,9,9,4,9,4,9,9,4,4,9,9
Oth. pelagic smelt,8,7,7,7,9,9,9,9,2,4,4,9,4,4,4,4,9,9
Bairdi,8,6,5,7,9,1,9,9,2,2,2,2,2,2,2,2,2,9
King Crab,5,6,5,7,9,1,9,9,2,2,2,2,2,2,2,2,2,9
Misc. crabs,8,6,7,7,9,9,9,9,2,4,4,4,4,4,4,4,4,9
Pandalidae,8,5,5,7,9,9,9,9,2,4,4,9,9,4,4,4,9,1
NP shrimp,8,6,6,7,9,9,9,9,9,4,4,9,9,4,4,4,9,9
Sea stars,4,6,7,7,6,9,9,9,9,4,4,4,4,4,4,4,4,9
Brittle stars,4,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Urchins dollars cucumbers,4,6,7,7,9,9,9,9,2,4,4,4,4,4,4,4,4,9
Snails,8,6,7,7,9,9,9,9,2,9,9,9,9,9,9,9,9,9
Hermit crabs,8,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Misc. Crustacean,8,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Benthic Amphipods,8,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Anemones,3,6,7,7,9,9,9,9,9,4,4,4,4,4,4,4,4,9
Corals,2,6,7,7,9,9,9,9,9,4,9,4,4,4,4,4,4,9
Hydroids,8,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Urochordata,5,6,7,7,9,9,9,9,9,4,4,4,4,4,4,4,4,9
Sea Pens,2,6,7,7,9,9,9,9,9,4,9,4,9,4,9,4,4,9
Sponges,3,6,7,7,9,9,9,9,9,4,9,4,4,4,4,4,4,9
Bivalves,8,6,7,7,9,9,9,9,2,9,9,9,9,9,9,9,9,9
Polychaetes,8,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Misc. worms ,8,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Scyphozoid Jellies,5,6,6,7,9,9,9,9,9,4,4,9,4,4,4,4,4,9
Fish Larvae,8,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Chaetognaths,8,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Euphausiids,8,6,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Mysids,8,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Pelagic Amphipods,8,6,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gelatinous filter feeders,8,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Pteropods,8,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Copepods,8,7,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Pelagic microbes,8,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Benthic microbes,8,7,7,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Macroalgae,8,7,7,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Lg Phytoplankton,6,5,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Sm Phytoplankton,6,5,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Outside Production,8,7,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Discards,8,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Offal,8,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Pelagic Detritus,8,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Benthic Detritus,8,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Outside Detritus,8,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
